Species_name,Species_number,Lon,Lat,Year,CoordinateUncertaintyInMeters,Database,Source,geodeticDatum
Ixodes scapularis,1,-87.64616,41.8954,2008,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.64616,41.8954,2008,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.64616,41.8954,2008,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.64616,41.8954,2008,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.64616,41.8954,2008,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.64616,41.8954,2008,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.64616,41.8954,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.64616,41.8954,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.64616,41.8954,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-87.64616,41.8954,2009,20000,"Walter Reed Biosystematics Unit (WRAIR, Division of Entomology)","Rydzewski, J. et al. 2012. Ixodes scapularis (Acari: Ixodidae) Distribution Surveys in the Chicago Metropolitan Region. J. Med. Entomol., 49:955-959",WGS84
Ixodes scapularis,1,-88.493877,41.831553,2020,2,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-88.462657,41.839952,2020,2,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-87.952113,41.57631,2020,2,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-89.675483,39.764091,2019,4,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-88.0465,41.812676,2019,4,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-88.027409,41.680813,2021,4,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-88.270378,42.111928,2019,5,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-88.27037,42.111931,2018,5,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-89.355767,41.890172,2020,10,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-88.316338,41.930503,2021,12,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-90.675474,40.49402,2022,15,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-89.440508,37.554758,2019,15,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-88.930751,37.374314,2021,31,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-88.270586,42.111975,2018,31,iNaturalist,iNaturalist,WGS84
Ixodes scapularis,1,-88.229483,42.144389,2020,65,iNaturalist,iNaturalist,WGS84
